Ano-calendário;Código da Receita Tributária;Descrição;Valor da Receita Tributária;Percentual do PIB;;;;
2002;4600.03;Cide-Remessas;295,2483389;0,000618029;;;;
2002;4600.04;Contr. s/ Rec. Empr. Telecomun.;602,4169525;0,00126101;;;;
2002;4600.05;Contribuição S/Rec.Concess.Permiss.Energ.Elet;189,7170891;0,000397126;;;;
2002;4600.06;Contrib. s/ as Lojas Francas;72,85366286;0,000152501;;;;
2002;4600.07;Contrib. s/ Faturam. Empres. Informática ;27,62421182;5,78244E-05;;;;
2002;4600.08;CONDECINE;6,31216944;1,3213E-05;;;;
2002;4600.09;Contrib. s/ a Arrec. Fundos de Investim. Regionais;77,97596872;0,000163223;;;;
2002;4600.10;Contribuição p/ o Fomento da Radiodifusão Pública;0;0;;;;
2002;4600.11;Contribuição s/ Apostas em Competições Hípicas;0,9125793;1,91026E-06;;;;
2002;4600.12;Contribuição s/ Jogos de Bingo;0;0;;;;
2002;5000;Tributos sobre Transações Financeiras;24261,58754;0,050785609;;;;
2002;5100;Tributos sobre Débitos e Créditos Bancários;20268,06067;0,042426152;;;;
2002;5100.01;CPMF;20268,06067;0,042426152;;;;
2002;5200;Outros;3993,526875;0,008359457;;;;
2002;5200.01;IOF;3993,526875;0,008359457;;;;
2002;9000;Outros Tributos;891,2234265;0,001865555;;;;
2002;9000.01;Receita da Dívida Ativa Outros Trib e Contrib;504,0554454;0,001055115;;;;
2002;9000.02;Adic. s/ Pass. Aéreas Domést.;6,96441655;1,45783E-05;;;;
2002;9000.03;Contribuição para o PIN ;195,2043794;0,000408612;;;;
2002;9000.05;PROTERRA;136,9186088;0,000286605;;;;
2002;9000.06;Reserva Global de Reversão ;0;0;;;;
2002;9000.07;Outras Contribuições Sociais ;12,11692734;2,53638E-05;;;;
2002;9000.08;Outras Contribuições Econômicas ;0;0;;;;
2002;9000.09;Contribuição p o Ensino Fundamental;35,963649;7,5281E-05;;;;
2003;0;Total da Receita Tributária;539229,7376;1;;;;
2003;1000;Tributos sobre a Renda;108198,4494;0,200653714;;;;
2003;1100;Pessoa Física;34614,63249;0,064192737;;;;
2003;1100.01;IRPF;4747,819909;0,008804818;;;;
2003;1100.02;IRRF - Trabalho União;19626,1898;0,036396713;;;;
2003;1100.03;IRRF - Estados;6755,757909;0,012528534;;;;
2003;1100.04;IRRF - Municípios;2207,88447;0,004094515;;;;
2003;1100.05;Contrib. s/ Concursos e Prognósticos;1276,980408;0,002368156;;;;
2003;1200;Pessoa Jurídica;46512,22471;0,086256787;;;;
2003;1200.01;IRPJ;30810,82726;0,057138591;;;;
2003;1200.02;CSLL;15701,39745;0,029118196;;;;
2003;1900;Retenções não Alocáveis;27071,59223;0,05020419;;;;
2003;1900.01;IRRF - Não Residentes;5589,740342;0,010366157;;;;
2003;1900.02;IRRF - Capital;18863,08767;0,034981542;;;;
2003;1900.03;IRRF - Outros;2618,764221;0,004856491;;;;
2003;2000;Tributos sobre a Folha de Salários;132570,0045;0,245850693;;;;
2003;2100;Previdência Social;95151,33512;0,176457878;;;;
2003;2110;Empregador;69663,08288;0,129189987;;;;
2003;2110.01;Contrib. para o INSS - Patronal;59631,46624;0,110586383;;;;
2003;2110.02;CPSS - Parcela Governo;2226,744289;0,004129491;;;;
2003;2110.03;Previd. dos Estados - Governo;6087,645729;0,011289522;;;;
2003;2110.04;Previd. dos Municípios - Governo;1717,22662;0,003184592;;;;
2003;2120;Empregado;25488,25224;0,047267891;;;;
2003;2120.01;Contrib. para o INSS - Empregado;19700,53504;0,036534586;;;;
2003;2120.02;CPSS - Parcela Servidor;2086,947974;0,003870239;;;;
2003;2120.03;Previd. dos Estados - Servidor;2132,175713;0,003954114;;;;
2003;2120.04;Previd. dos Municípios - Servidor;601,4523603;0,001115392;;;;
2003;2120.05;Contrib. p/ Custeio das Pensões Militares;967,1411542;0,00179356;;;;
2003;2120.06;Contribuição Voluntária  Montepio Civil ;0;0;;;;
2003;2200;Seguro Desemprego;26974,22624;0,050023625;;;;
2003;2200.01;FGTS;26974,22624;0,050023625;;;;
2003;2900;Outros;10444,44309;0,01936919;;;;
2003;2900.01;Salário Educação;3983,631019;0,007387632;;;;
2003;2900.02;"Sistema ""S""";3838,210571;0,00711795;;;;
2003;2900.03;PIS - Folha de pagamento;249,8343983;0,000463317;;;;
2003;2900.04;Pasep;2030,65132;0,003765837;;;;
2003;2900.05;Cota-Parte Contrib. Sindical;169,2150319;0,000313809;;;;
2003;2900.06;Contrib. p/ Ensino Aeroviario;48,40624106;8,97692E-05;;;;
2003;2900.07;Contrib. p/ Ensino Profiss. Maritimo;35,5297993;6,58899E-05;;;;
2003;2900.08;Contrib. Rurais;88,96470674;0,000164985;;;;
2003;2900.09;Contribuição para o Fundo de Saúde - PMDF/BMDF;0;0;;;;
2003;3000;Tributos sobre a Propriedade;19388,86504;0,035956595;;;;
2003;3100;Propriedade Imobiliária (urbana e rural) ;9094,437437;0,016865608;;;;
2003;3100.01;ITR;233,0887779;0,000432262;;;;
2003;3100.02;IPTU;8861,348659;0,016433346;;;;
2003;3200;Propriedade de Veículos Automotores;7657,020538;0,014199923;;;;
2003;3200.01;IPVA;7657,020538;0,014199923;;;;
2003;3300;Transferências Patrimoniais;2637,407068;0,004891064;;;;
2003;3300.01;ITCD;873,1107554;0,001619181;;;;
2003;3300.02;ITBI;1764,296313;0,003271882;;;;
2003;4000;Tributos sobre Bens e Serviços;251518,5306;0,466440393;;;;
2003;4100;Gerais ;177315,9473;0,328831915;;;;
2003;4100.01;ICMS - Exceto Seletivos;83050,846;0,154017555;;;;
2003;4100.02;IPI - Exceto Seletivos;11559,57273;0,021437194;;;;
2003;4100.03;Cofins;58086,51316;0,107721272;;;;
2003;4100.04;PIS;14334,1847;0,026582704;;;;
2003;4100.05;Imposto sobre Serviços (ISS);10284,83067;0,019073189;;;;
2003;4200;Seletivos;50475,76503;0,093607161;;;;
2003;4210;Automóveis;2315,128626;0,004293399;;;;
2003;4210.01;IPI - Automóveis;2315,128626;0,004293399;;;;
2003;4220;Bebidas;1900,489461;0,003524452;;;;
2003;4220.01;IPI - Bebidas;1900,489461;0,003524452;;;;
2003;4230;Combustíveis;32016,80665;0,059375076;;;;
2003;4230.01;CIDE - Combustíveis;8405,895652;0,015588709;;;;
2003;4230.02;ICMS - Combustíveis;23610,911;0,043786367;;;;
2003;4240;Energia Elétrica;12248,938;0,02271562;;;;
2003;4240.01;ICMS - Energia Elétrica;12248,938;0,02271562;;;;
2003;4250;Tabaco;1994,402292;0,003698613;;;;
2003;4250.01;IPI - Tabaco;1994,402292;0,003698613;;;;
2003;4300;Comércio Exterior;8130,635079;0,015078239;;;;
2003;4300.01;Imposto sobre Importação;8084,235187;0,014992191;;;;
2003;4300.02;Imposto sobre Exportação;46,39989208;8,60485E-05;;;;
2003;4400;Taxas - Prest. Serviços e Poder Polícia;12310,11658;0,022829076;;;;
2003;4400.01;Taxas Federais;1792,24651;0,003323716;;;;
2003;4400.02;Outros Tributos Estaduais;6620,11313;0,012276981;;;;
2003;4400.03;Outros Tributos Municipais;3897,756938;0,007228379;;;;
2003;4500;Contribuições Previdenciárias;355,3582533;0,000659011;;;;
2003;4500.01;Contrib. Previdenciária sobre Faturamento;0;0;;;;
2003;4500.02;Adicional à Contribuição Previdenciária;355,3582533;0,000659011;;;;
2003;4600;Outras Contrib. Sociais e Econômicas;2930,708367;0,00543499;;;;
2003;4600.01;Rec. Partic. Seguro DPVAT;772,0317191;0,001431731;;;;
2003;4600.02;AFRMM ;689,1842512;0,00127809;;;;
2003;4600.03;Cide-Remessas;479,0189521;0,000888339;;;;
2003;4600.04;Contr. s/ Rec. Empr. Telecomun.;644,7510041;0,001195689;;;;
2003;4600.05;Contribuição S/Rec.Concess.Permiss.Energ.Elet;178,2275028;0,000330522;;;;
2003;4600.06;Contrib. s/ as Lojas Francas;88,37534891;0,000163892;;;;
2003;4600.07;Contrib. s/ Faturam. Empres. Informática ;56,7361868;0,000105217;;;;
2003;4600.08;CONDECINE;19,52383038;3,62069E-05;;;;
2003;4600.09;Contrib. s/ a Arrec. Fundos de Investim. Regionais;1,62823258;3,01955E-06;;;;
2003;4600.10;Contribuição p/ o Fomento da Radiodifusão Pública;0;0;;;;
2003;4600.11;Contribuição s/ Apostas em Competições Hípicas;0,50384319;9,34376E-07;;;;
2003;4600.12;Contribuição s/ Jogos de Bingo;0,72749636;1,34914E-06;;;;
2003;5000;Tributos sobre Transações Financeiras;27406,32284;0,050824947;;;;
2003;5100;Tributos sobre Débitos e Créditos Bancários;22985,3894;0,042626339;;;;
2003;5100.01;CPMF;22985,3894;0,042626339;;;;
2003;5200;Outros;4420,933437;0,008198608;;;;
2003;5200.01;IOF;4420,933437;0,008198608;;;;
2003;9000;Outros Tributos;147,5652689;0,000273659;;;;
2003;9000.01;Receita da Dívida Ativa Outros Trib e Contrib;51,40773928;9,53355E-05;;;;
2003;9000.02;Adic. s/ Pass. Aéreas Domést.;14,63668221;2,71437E-05;;;;
2003;9000.03;Contribuição para o PIN ;32,83303003;6,08888E-05;;;;
2003;9000.05;PROTERRA;22,91325502;4,24926E-05;;;;
2003;9000.06;Reserva Global de Reversão ;16,43779472;3,04838E-05;;;;
2003;9000.07;Outras Contribuições Sociais ;7,3367676;1,3606E-05;;;;
2003;9000.08;Outras Contribuições Econômicas ;0;0;;;;
2003;9000.09;Contribuição p o Ensino Fundamental;2;3,70899E-06;;;;
2004;0;Total da Receita Tributária;633391,2037;1;;;;
2004;1000;Tributos sobre a Renda;121221,2628;0,191384506;;;;
2004;1100;Pessoa Física;40841,58587;0,064480823;;;;
2004;1100.01;IRPF;5778,053004;0,009122408;;;;
2004;1100.02;IRRF - Trabalho União;23710,90385;0,037434849;;;;
2004;1100.03;IRRF - Estados;7372,888132;0,011640339;;;;
2004;1100.04;IRRF - Municípios;2458,438283;0,00388139;;;;
2004;1100.05;Contrib. s/ Concursos e Prognósticos;1521,302606;0,002401837;;;;
2004;1200;Pessoa Jurídica;54563,65;0,08614526;;;;
2004;1200.01;IRPJ;35223,73567;0,055611343;;;;
2004;1200.02;CSLL;19339,91433;0,030533917;;;;
2004;1900;Retenções não Alocáveis;25816,02697;0,040758424;;;;
2004;1900.01;IRRF - Não Residentes;5568,614544;0,008791746;;;;
2004;1900.02;IRRF - Capital;17187,68405;0,027135969;;;;
2004;1900.03;IRRF - Outros;3059,728382;0,004830709;;;;
2004;2000;Tributos sobre a Folha de Salários;157122,2539;0,248065103;;;;
2004;2100;Previdência Social;114761,1397;0,181185244;;;;
2004;2110;Empregador;83362,24023;0,131612564;;;;
2004;2110.01;Contrib. para o INSS - Patronal;69283,93367;0,10938569;;;;
2004;2110.02;CPSS - Parcela Governo;4075,240967;0,006434003;;;;
2004;2110.03;Previd. dos Estados - Governo;7888,446623;0,012454304;;;;
2004;2110.04;Previd. dos Municípios - Governo;2114,618967;0,003338567;;;;
2004;2120;Empregado;31398,89951;0,04957268;;;;
2004;2120.01;Contrib. para o INSS - Empregado;23873,41291;0,037691418;;;;
2004;2120.02;CPSS - Parcela Servidor;2831,221692;0,004469942;;;;
2004;2120.03;Previd. dos Estados - Servidor;2900,624162;0,004579514;;;;
2004;2120.04;Previd. dos Municípios - Servidor;777,5567438;0,001227609;;;;
2004;2120.05;Contrib. p/ Custeio das Pensões Militares;1016,083999;0,001604197;;;;
2004;2120.06;Contribuição Voluntária  Montepio Civil ;0;0;;;;
2004;2200;Seguro Desemprego;29821,35115;0,047082042;;;;
2004;2200.01;FGTS;29821,35115;0,047082042;;;;
2004;2900;Outros;12539,76297;0,019797817;;;;
2004;2900.01;Salário Educação;4802,386771;0,007582023;;;;
2004;2900.02;"Sistema ""S""";4794,562539;0,00756967;;;;
2004;2900.03;PIS - Folha de pagamento;277,7907038;0,000438577;;;;
2004;2900.04;Pasep;2291,393557;0,003617659;;;;
2004;2900.05;Cota-Parte Contrib. Sindical;151,5894066;0,00023933;;;;
2004;2900.06;Contrib. p/ Ensino Aeroviario;61,86180815;9,76676E-05;;;;
2004;2900.07;Contrib. p/ Ensino Profiss. Maritimo;44,52891154;7,03024E-05;;;;
2004;2900.08;Contrib. Rurais;115,649277;0,000182587;;;;
2004;2900.09;Contribuição para o Fundo de Saúde - PMDF/BMDF;0;0;;;;
2004;3000;Tributos sobre a Propriedade;21598,40243;0,034099625;;;;
2004;3100;Propriedade Imobiliária (urbana e rural) ;10129,67071;0,015992756;;;;
2004;3100.01;ITR;243,3363608;0,00038418;;;;
2004;3100.02;IPTU;9886,334345;0,015608575;;;;
2004;3200;Propriedade de Veículos Automotores;8829,081123;0,013939381;;;;
2004;3200.01;IPVA;8829,081123;0,013939381;;;;
2004;3300;Transferências Patrimoniais;2639,650606;0,004167489;;;;
2004;3300.01;ITCD;736,9079931;0,001163433;;;;
2004;3300.02;ITBI;1902,742613;0,003004056;;;;
2004;4000;Tributos sobre Bens e Serviços;301675,0011;0,476285429;;;;
2004;4100;Gerais ;217698,1089;0,343702451;;;;
2004;4100.01;ICMS - Exceto Seletivos;97194,89185;0,153451597;;;;
2004;4100.02;IPI - Exceto Seletivos;13797,2436;0,021783131;;;;
2004;4100.03;Cofins;77402,34673;0,122203065;;;;
2004;4100.04;PIS;16751,95348;0,026448036;;;;
2004;4100.05;Imposto sobre Serviços (ISS);12551,67318;0,019816621;;;;
2004;4200;Seletivos;55897,12978;0,088250562;;;;
2004;4210;Automóveis;2965,026187;0,004681193;;;;
2004;4210.01;IPI - Automóveis;2965,026187;0,004681193;;;;
2004;4220;Bebidas;1999,483739;0,003156791;;;;
2004;4220.01;IPI - Bebidas;1999,483739;0,003156791;;;;
2004;4230;Combustíveis;33706,6028;0,053216089;;;;
2004;4230.01;CIDE - Combustíveis;7815,980797;0,012339895;;;;
2004;4230.02;ICMS - Combustíveis;25890,622;0,040876194;;;;
2004;4240;Energia Elétrica;14921,403;0,023557957;;;;
2004;4240.01;ICMS - Energia Elétrica;14921,403;0,023557957;;;;
2004;4250;Tabaco;2304,614056;0,003638532;;;;
2004;4250.01;IPI - Tabaco;2304,614056;0,003638532;;;;
2004;4300;Comércio Exterior;9216,98091;0,014551798;;;;
2004;4300.01;Imposto sobre Importação;9146,838458;0,014441057;;;;
2004;4300.02;Imposto sobre Exportação;70,14245255;0,000110741;;;;
2004;4400;Taxas - Prest. Serviços e Poder Polícia;14871,7042;0,023479493;;;;
2004;4400.01;Taxas Federais;2266,087605;0,003577706;;;;
2004;4400.02;Outros Tributos Estaduais;7653,983362;0,012084133;;;;
2004;4400.03;Outros Tributos Municipais;4951,633228;0,007817654;;;;
2004;4500;Contribuições Previdenciárias;457,5223638;0,000722338;;;;
2004;4500.01;Contrib. Previdenciária sobre Faturamento;0;0;;;;
2004;4500.02;Adicional à Contribuição Previdenciária;457,5223638;0,000722338;;;;
2004;4600;Outras Contrib. Sociais e Econômicas;3533,554958;0,005578788;;;;
2004;4600.01;Rec. Partic. Seguro DPVAT;799,0669312;0,001261569;;;;
2004;4600.02;AFRMM ;1075,640262;0,001698224;;;;
2004;4600.03;Cide-Remessas;544,9125461;0,00086031;;;;
2004;4600.04;Contr. s/ Rec. Empr. Telecomun.;730,5701624;0,001153426;;;;
2004;4600.05;Contribuição S/Rec.Concess.Permiss.Energ.Elet;198,8437062;0,000313935;;;;
2004;4600.06;Contrib. s/ as Lojas Francas;81,89033766;0,000129289;;;;
2004;4600.07;Contrib. s/ Faturam. Empres. Informática ;74,90261088;0,000118256;;;;
2004;4600.08;CONDECINE;26,99319218;4,26169E-05;;;;
2004;4600.09;Contrib. s/ a Arrec. Fundos de Investim. Regionais;0,36161779;5,70923E-07;;;;
2004;4600.10;Contribuição p/ o Fomento da Radiodifusão Pública;0;0;;;;
2004;4600.11;Contribuição s/ Apostas em Competições Hípicas;0,10749796;1,69718E-07;;;;
2004;4600.12;Contribuição s/ Jogos de Bingo;0,26609337;4,20109E-07;;;;
2004;5000;Tributos sobre Transações Financeiras;31626,57022;0,049932127;;;;
2004;5100;Tributos sobre Débitos e Créditos Bancários;26393,98385;0,041670904;;;;
2004;5100.01;CPMF;26393,98385;0,041670904;;;;
2004;5200;Outros;5232,586376;0,008261224;;;;
2004;5200.01;IOF;5232,586376;0,008261224;;;;
2004;9000;Outros Tributos;147,7133034;0,00023321;;;;
2004;9000.01;Receita da Dívida Ativa Outros Trib e Contrib;102,2268134;0,000161396;;;;
2004;9000.02;Adic. s/ Pass. Aéreas Domést.;6,20303555;9,79337E-06;;;;
2004;9000.03;Contribuição para o PIN ;3,41188031;5,38669E-06;;;;
2004;9000.05;PROTERRA;2,27458981;3,59113E-06;;;;
2004;9000.06;Reserva Global de Reversão ;33,67811475;5,31711E-05;;;;
2004;9000.07;Outras Contribuições Sociais ;-0,10393041;-1,64086E-07;;;;
2004;9000.08;Outras Contribuições Econômicas ;0;0;;;;
2004;9000.09;Contribuição p o Ensino Fundamental;0,0228;3,59967E-08;;;;
2005;0;Total da Receita Tributária;727944,2551;1;;;;
2005;1000;Tributos sobre a Renda;150627,7233;0,206922058;;;;
2005;1100;Pessoa Física;48330,08679;0,066392566;;;;
2005;1100.01;IRPF;6896,152196;0,009473462;;;;
2005;1100.02;IRRF - Trabalho União;28749,52969;0,039494136;;;;
2005;1100.03;IRRF - Estados;8270,127853;0,011360936;;;;
2005;1100.04;IRRF - Municípios;2850,001385;0,003915137;;;;
2005;1100.05;Contrib. s/ Concursos e Prognósticos;1564,27566;0,002148895;;;;
2005;1200;Pessoa Jurídica;72455,32321;0,099534164;;;;
2005;1200.01;IRPJ;47454,67343;0,065189983;;;;
2005;1200.02;CSLL;25000,64978;0,034344182;;;;
2005;1900;Retenções não Alocáveis;29842,31329;0,040995328;;;;
2005;1900.01;IRRF - Não Residentes;6183,424122;0,008494365;;;;
2005;1900.02;IRRF - Capital;19976,47571;0,027442315;;;;
2005;1900.03;IRRF - Outros;3682,41346;0,005058648;;;;
2005;2000;Tributos sobre a Folha de Salários;181725,7981;0,249642465;;;;
2005;2100;Previdência Social;132781,3069;0,182405872;;;;
2005;2110;Empregador;93710,81747;0,128733508;;;;
2005;2110.01;Contrib. para o INSS - Patronal;77024,11777;0,105810462;;;;
2005;2110.02;CPSS - Parcela Governo;6246,195707;0,008580596;;;;
2005;2110.03;Previd. dos Estados - Governo;8524,980357;0,011711035;;;;
2005;2110.04;Previd. dos Municípios - Governo;1915,523635;0,002631415;;;;
2005;2120;Empregado;39070,48938;0,053672364;;;;
2005;2120.01;Contrib. para o INSS - Empregado;29539,25684;0,040579009;;;;
2005;2120.02;CPSS - Parcela Servidor;4188,946484;0,005754488;;;;
2005;2120.03;Previd. dos Estados - Servidor;3495,449751;0,00480181;;;;
2005;2120.04;Previd. dos Municípios - Servidor;785,4113832;0,001078944;;;;
2005;2120.05;Contrib. p/ Custeio das Pensões Militares;1061,42492;0,001458113;;;;
2005;2120.06;Contribuição Voluntária  Montepio Civil ;0;0;;;;
2005;2200;Seguro Desemprego;35131,93771;0,048261852;;;;
2005;2200.01;FGTS;35131,93771;0,048261852;;;;
2005;2900;Outros;13812,55353;0,018974741;;;;
2005;2900.01;Salário Educação;5761,649807;0,00791496;;;;
2005;2900.02;"Sistema ""S""";4470,234565;0,006140902;;;;
2005;2900.03;PIS - Folha de pagamento;292,1382364;0,00040132;;;;
2005;2900.04;Pasep;2862,535351;0,003932355;;;;
2005;2900.05;Cota-Parte Contrib. Sindical;240,9270004;0,000330969;;;;
2005;2900.06;Contrib. p/ Ensino Aeroviario;39,48584891;5,4243E-05;;;;
2005;2900.07;Contrib. p/ Ensino Profiss. Maritimo;46,88753721;6,44109E-05;;;;
2005;2900.08;Contrib. Rurais;98,69518187;0,000135581;;;;
2005;2900.09;Contribuição para o Fundo de Saúde - PMDF/BMDF;0;0;;;;
2005;3000;Tributos sobre a Propriedade;24449,95764;0,033587679;;;;
2005;3100;Propriedade Imobiliária (urbana e rural) ;11025,73688;0,015146403;;;;
2005;3100.01;ITR;272,9588496;0,000374972;;;;
2005;3100.02;IPTU;10752,77803;0,014771431;;;;
2005;3200;Propriedade de Veículos Automotores;10406,3482;0,014295529;;;;
2005;3200.01;IPVA;10406,3482;0,014295529;;;;
2005;3300;Transferências Patrimoniais;3017,872566;0,004145747;;;;
2005;3300.01;ITCD;816,4920933;0,001121641;;;;
2005;3300.02;ITBI;2201,380472;0,003024106;;;;
2005;4000;Tributos sobre Bens e Serviços;335652,357;0,461096237;;;;
2005;4100;Gerais ;243795,4139;0,334909455;;;;
2005;4100.01;ICMS - Exceto Seletivos;108439,6745;0,148967004;;;;
2005;4100.02;IPI - Exceto Seletivos;15675,73277;0,021534249;;;;
2005;4100.03;Cofins;86677,54016;0,119071673;;;;
2005;4100.04;PIS;18185,767;0,024982362;;;;
2005;4100.05;Imposto sobre Serviços (ISS);14816,69948;0,020354168;;;;
2005;4200;Seletivos;61619,66918;0,084648885;;;;
2005;4210;Automóveis;3743,676911;0,005142807;;;;
2005;4210.01;IPI - Automóveis;3743,676911;0,005142807;;;;
2005;4220;Bebidas;2359,086699;0,003240752;;;;
2005;4220.01;IPI - Bebidas;2359,086699;0,003240752;;;;
2005;4230;Combustíveis;35890,76874;0,049304282;;;;
2005;4230.01;CIDE - Combustíveis;7681,339739;0,010552099;;;;
2005;4230.02;ICMS - Combustíveis;28209,429;0,038752183;;;;
2005;4240;Energia Elétrica;17326,45;0,023801891;;;;
2005;4240.01;ICMS - Energia Elétrica;17326,45;0,023801891;;;;
2005;4250;Tabaco;2299,686833;0,003159152;;;;
2005;4250.01;IPI - Tabaco;2299,686833;0,003159152;;;;
2005;4300;Comércio Exterior;8942,694094;0,012284861;;;;
2005;4300.01;Imposto sobre Importação;8894,712126;0,012218947;;;;
2005;4300.02;Imposto sobre Exportação;47,98196826;6,59143E-05;;;;
2005;4400;Taxas - Prest. Serviços e Poder Polícia;17095,6813;0,023484877;;;;
2005;4400.01;Taxas Federais;2874,720872;0,003949095;;;;
2005;4400.02;Outros Tributos Estaduais;8901,803984;0,012228689;;;;
